state,District Name,block,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft (Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Stage of Groundwater Development (%)
UP,Sitapur,Rampur Mathura,473.76,9810.72,10284.48,12727.52,0.359103,12091.14,85.06
UP,Sitapur,Kasmanda,477.99,5050.88,5528.87,13884.63,0.503946,13190.4,41.92
UP,Bahraich,Fakharpur,528.49,4426.64,4955.13,9297.52,0.363046,8367.77,59.22
UP,Maharajganj,Nautanwa,549.94,4005.45,4555.39,9935.05,0.247256,9438.3,48.26
UP,Bahraich,Bisheshwarganj,441.25,6977.64,7418.89,9877.03,0.395113,8889.33,83.4584
UP,Sitapur,Mahmudabad,392.03,7863.12,8255.15,10157.27,0.309527,9649.41,85.55
UP,Siddharth Nagar,Barhani,177.28,5360.42,5537.7,10582.29,0.323213,9524.06,58.14
UP,Sitapur,Biswan,737.72,11802.48,12540.2,19605.51,0.762788,18625.23,67.33
UP,Hardoi,Tadiyawan,421.06,4777.8,5198.86,9517.8,0.336793,9041.91,57.5
UP,Sitapur,Machhrehta,484.31,6854.08,7338.39,9950.12,0.285008,9452.62,77.63
UP,Bahraich,Huzurpur,413.98,3107.28,3521.26,6446.23,0.146664,5801.61,60.69
UP,Shrawasti,Gilaula,441.67,7938.2,8379.87,11858.41,0.689888,11265.49,74.39
UP,Bahraich,Payagpur,429.54,3557.7,3987.24,9320.56,0.385243,8388.5,47.5322
UP,Sitapur,Khairabad,501.12,6658.56,7159.68,9389.53,0.445812,8920.05,80.27
UP,Sitapur,Misrikh,436.27,5793.06,6229.33,11194.0,0.482267,10634.3,58.58
UP,Chandauli,Chahniya,488.02,1681.67,2169.69,8064.98,0.391571,7661.74,28.32
UP,Balrampur,Harraiya Satgharwa,695.6,9796.4,10492.0,13413.7,0.472196,12743.02,82.34
UP,Shrawasti,Ikauna,451.91,5983.2,6435.11,9406.53,0.282296,8936.2,72.01
UP,Bahraich,Tejwapur,451.51,3888.54,4340.05,9408.07,0.271403,8467.26,51.26
UP,Hardoi,Hariyawan,303.78,5651.8,5955.58,12167.73,0.396138,11559.34,51.52
UP,Balrampur,Tulsipur,584.9,4375.2,4960.1,11995.56,0.195392,11395.78,43.53
BR,Patna,Bakhtiarpur,482.0,1700.0,2182.0,6106.0,0.557131,5496.0,39.7
UP,Balrampur,Gainsara,531.94,3166.4,3698.34,11531.01,0.222801,10954.46,33.76
UP,Sitapur,Sakran,492.31,11242.92,11735.23,14434.33,0.440929,13712.61,85.58
UP,Bahraich,Chittaura,529.86,5271.27,5801.13,10196.86,0.299013,9687.02,59.89
UP,Balrampur,Pachperwa,455.15,2218.0,2673.15,11813.19,0.205735,11222.53,23.82
UP,Sitapur,Maholi,361.58,6291.0,6652.58,10383.56,0.382567,9864.38,67.44
UP,Sitapur,Rewsa,648.19,11498.98,12147.17,15474.99,0.289711,14701.24,82.63
UP,Ghazipur,Revatipur,404.75,5145.65,5550.4,8364.84,0.330765,7946.59,69.85
BR,Patna,Athmalgola,123.0,835.0,958.0,1441.0,0.072719,1296.0,73.9
UP,Sitapur,Pisawan,500.06,7398.4,7898.46,12255.89,0.304056,11643.1,67.84
UP,Bahraich,Mahasi,472.4,3697.89,4170.29,7229.24,0.244997,6867.78,60.72
UP,Sitapur,Parsendi,506.82,8239.66,8746.48,12024.2,0.529025,11422.99,76.57
UP,Hardoi,Pihani,432.99,7012.0,7444.99,11671.43,0.333975,11087.86,67.15
UP,Hardoi,Todarpur,373.82,6817.6,7191.42,14408.67,0.463148,13688.24,52.54
UP,Ghazipur,Deokali,535.28,4863.54,5398.82,8064.2,0.353581,7660.99,70.47
UP,Sitapur,Ailia,432.02,5432.88,5864.9,8618.69,0.279553,8187.76,71.63
UP,Sitapur,Laharpur,386.47,8830.0,9216.47,16144.45,0.532971,15337.23,60.09
BR,Patna,Belchi,87.0,601.0,687.0,2131.0,0.309167,1917.0,35.8
UP,Sitapur,Hargaon,492.66,7180.48,7673.14,13903.46,0.493271,13208.29,58.09
UP,Bahraich,Risiya,476.01,3924.0,4400.01,7981.01,0.234183,7182.91,61.26
BR,Patna,Pandarak,220.0,2361.0,2581.0,6568.0,0.418606,5912.0,43.7
UP,Balrampur,Balrampur,544.3,3086.8,3631.1,17463.7,0.2909,16590.52,21.89
UP,Etah,Marhara,344.41,2736.0,3080.41,5360.35,0.281142,4824.31,63.85
UP,Bahraich,Shivpur,499.12,2259.7,2758.82,7489.23,0.282486,7114.77,38.78
UP,Shrawasti,Jamunaha,486.32,5797.36,6283.68,9416.53,0.241343,8474.88,74.14
BR,Patna,Barh,307.0,1332.0,1639.0,3540.0,0.514752,3186.0,51.4
UP,Sitapur,Behta,520.22,8272.64,8792.86,11040.64,0.302796,10488.61,83.83
UP,Shrawasti,Hariharpur Rani,399.02,3975.84,4374.86,7822.39,0.208379,7040.15,62.14
UP,Shrawasti,Sirsiya,460.28,3681.51,4141.79,6729.93,0.094372,6393.43,64.78
BR,Patna,Ghosawari,102.0,1273.0,1374.0,4354.0,0.709006,3919.0,35.1
UP,Lakhimpur Kheri,Mitauli,315.53,11691.6,12007.13,21632.95,0.64045,20551.3,58.43
BR,Saran,Panapur,185.0,1694.0,1879.0,3929.2,0.31647,3733.0,50.3
UP,Lakhimpur Kheri,Isanagar,532.36,12109.0,12641.36,16047.83,0.34704,15245.44,82.92
UP,Lakhimpur Kheri,Pasgawan,641.32,12502.0,13143.32,20147.47,0.416502,19140.09,68.67
BR,Saran,Taraiya,218.0,2166.0,2383.0,3653.3,0.341461,3471.0,68.7
UP,Lakhimpur Kheri,Behjam,478.36,9490.8,9969.16,16282.56,0.617131,15468.43,64.45
UP,Bahraich,Balha,483.53,2526.0,3009.53,8304.91,0.346905,7474.42,40.26
UP,Bahraich,Nawabganj,425.22,1759.0,2184.22,5804.91,0.290245,5514.66,39.61
UP,Lakhimpur Kheri,Dhaurahara,383.98,9308.0,9691.98,11925.11,0.49979,11328.86,85.55
UP,Bulandshahar,Gulaothi,223.33,5167.73,5391.06,5965.21,0.358791,5368.69,100.42
UP,Lakhimpur Kheri,Nakaha,752.7,11078.8,11831.5,20293.99,0.572627,19279.29,61.37
UP,Ghazipur,Mohammadabad,523.53,4963.01,5486.54,5810.6,0.373939,5520.07,99.39
UP,Lakhimpur Kheri,Lakhimpur,747.35,9490.0,10237.35,20612.69,0.543152,19582.06,52.28
UP,Lakhimpur Kheri,Kumbhigola,514.92,10368.8,10883.72,18804.7,0.518053,17864.47,60.92
UP,Lakhimpur Kheri,Phulbehar,741.81,14579.0,15320.81,23781.87,0.523597,22592.78,67.81
UP,Lakhimpur Kheri,Ramiabehar,620.94,14557.2,15178.14,19989.25,0.453251,18989.79,79.93
UP,Lakhimpur Kheri,Mohammadi,580.01,12151.0,12731.01,18210.09,0.380669,17299.59,73.59
UP,Lakhimpur Kheri,Bijua,575.82,11642.0,12217.82,25658.27,0.491606,24375.36,50.12
UP,Shahjahanpur,Puyawan,363.86,8332.16,8696.02,10882.78,0.323114,9794.5,88.78
UP,Mau,Ghosi,386.29,3078.24,3464.53,5284.78,0.447768,5020.54,69.01
UP,Bahraich,Mihipurwa,774.4,3490.25,4264.65,12308.63,0.114367,11077.77,38.5
UP,Shahjahanpur,Banda,450.51,5359.76,5810.27,16554.15,0.36024,14898.74,39.0
BR,Patna,Mokama,606.0,1319.0,1925.0,5799.0,0.346072,5219.0,36.9
UP,Lakhimpur Kheri,Bankeyganj,514.09,5780.0,6294.09,21144.32,0.29335,20087.1,31.33
BR,Nawada,Maskaur,179.0,909.0,1087.0,1560.0,0.279862,1404.0,77.4
UP,Lakhimpur Kheri,Nighasan,315.53,15186.8,15502.33,25113.68,0.343476,23857.99,64.98
UP,Gorakhpur,Kauriram,412.94,3354.23,3767.17,7254.8,0.503184,6892.06,54.66
UP,Shahjahanpur,Khutar,257.16,3826.88,4084.04,11501.99,0.220605,10351.79,39.45
UP,Lakhimpur Kheri,Palia,525.44,9262.0,9787.44,19923.62,0.133693,18927.44,51.71
UP,Pilibhit,Puranpur,1084.83,26089.52,27174.35,56452.98,0.354699,50807.68,53.48
UP,Lalitpur,Bar,469.37,3008.15,3477.52,6138.05,0.122634,5831.15,59.64
UP,Chandauli,Chakia,408.58,2727.76,3136.34,4499.19,0.151513,4274.23,73.38
UP,Lalitpur,Jakhora,597.56,6471.27,7068.83,10746.79,0.097893,10209.45,69.24
UP,Chandauli,Shahabganj,360.82,2593.99,2954.81,4013.1,0.173884,3812.45,77.5
BR,Nawada,Sirdauli,264.0,1109.0,1373.0,2940.0,0.118546,2793.0,49.2
UP,Chandauli,Naugarh,215.32,166.3,381.62,3849.97,0.19,3657.47,10.43
UP,Mirzapur,Marihan,347.75,2134.51,2482.26,3605.86,0.038554,3425.57,72.46
UP,Mirzapur,Lalganj,367.88,3736.8,4104.68,7813.25,0.164135,7422.59,55.3
UP,Mirzapur,Rajgarh,387.79,1442.18,1829.97,5353.61,0.091896,4818.25,37.98
BR,Aurangabad,Barun,305.0,1928.0,2234.0,12203.0,0.391964,10983.0,20.3
UP,Mirzapur,Sikhar,206.63,3270.19,3476.82,4055.88,0.329433,3650.29,95.25
UP,Mirzapur,Narayanpur,533.95,1580.99,2114.94,7370.73,0.264072,6633.66,31.88
UP,Mirzapur,City,570.68,3404.07,3974.75,5919.5,0.21281,5327.55,74.61
BR,Sitamarhi,Baigania,351.0,1264.0,1614.0,2613.0,0.359379,2483.0,65.0
UP,Lalitpur,Talbehat,471.1,2718.65,3189.75,9237.27,0.117066,8775.41,36.35
UP,Mirzapur,Jamalpur,585.36,913.53,1498.89,6001.99,0.377506,5401.79,27.75
UP,Mirzapur,Kon,282.93,1913.72,2196.65,2708.68,0.261558,2437.82,90.11
BR,Nawada,Hisua,361.0,2875.0,3236.0,4454.0,0.243422,4008.0,80.7
BR,Sitamarhi,Majorganj,157.0,1539.0,1696.0,2761.0,0.353071,2623.0,64.6
UP,Mirzapur,Chanbey,608.01,3548.29,4156.3,4582.27,0.150099,4353.16,95.48
UP,Chitrakoot,Ramnagar,271.29,1695.35,1966.64,214.397,0.27,2409.8,81.61
UP,Mahoba,Jaitpur,357.9,4587.45,4945.35,4568.57,0.06632,4111.71,120.27
BR,Madhubani,Kaluhi,178.0,745.0,923.0,3257.0,0.277761,2931.0,31.5
UP,Mirzapur,Majhawan,361.68,3302.83,3664.51,4188.66,0.430427,3769.79,97.21
UP,Chitrakoot,Manikpur,425.49,3305.15,3730.64,8446.72,0.074166,8024.38,46.49
UP,Chandauli,Chandauli,485.33,3284.07,3769.4,10961.49,0.502612,10413.41,36.2
UP,Varanasi,Araziline,955.34,7698.0,8653.34,7606.25,0.321007,6411.2,134.97
UP,Chandauli,Sakaldiha,656.68,2954.8,3611.48,10838.5,0.534397,10296.58,35.07
UP,Chandauli,Barahani,424.4,3868.38,4292.78,14247.58,0.510468,13535.2,31.72
UP,Varanasi,Sevapuri,604.54,3802.5,4407.04,6516.85,0.435971,5865.17,75.14
UP,Varanasi,Kashi Vidyapith,841.38,1946.5,2787.88,4918.29,0.235139,4426.46,62.98
UP,Banda,Mahuva,395.3,4074.35,4469.65,11133.06,0.187991,10576.41,42.26
UP,Jhansi,Mauranipur,430.7,5864.61,6295.31,7577.17,0.14107,7198.31,87.46
BR,Saran,Amnour,310.0,381.0,691.0,3390.0,0.233681,3221.0,21.5
UP,Banda,Bisanda,351.5,3551.6,3903.1,8167.56,0.169734,7759.18,50.3
BR,Saran,Dighwara,287.0,1472.0,1759.0,2765.8,0.266104,2628.0,66.9
UP,Kaushambi,Chail,186.67,2694.75,14954.05,2159.77,0.070402,1943.8,148.24
UP,Kaushambi,Sarsawan,552.83,15223.9,15776.73,15021.21,0.548718,13519.09,116.7
UP,Mahoba,Panwari,381.24,6036.15,6417.39,5459.08,0.105743,4913.17,130.62
UP,Varanasi,Baragaon,533.98,4027.5,4561.48,7032.38,0.413953,6329.14,72.07
UP,Ghazipur,Bhadaura,538.53,3548.24,4086.77,11266.97,0.498086,10703.62,38.18
UP,Mahoba,Charkhari,272.43,2900.15,3172.58,3755.3,0.056391,3379.77,93.87
BR,Nawada,Rajauli,267.0,2309.0,2576.0,5694.0,0.155358,5124.0,50.3
UP,Ghazipur,Zamania,570.62,6453.02,7023.64,15702.55,0.536933,14917.43,47.08
UP,Kaushambi,Muratganj,439.85,6391.0,6830.85,6051.5,0.329568,5446.35,125.42
UP,Ghazipur,Karanda,329.43,5106.4,5435.83,6045.34,0.393049,5743.08,94.65
UP,Jhansi,Bangra,505.44,4726.57,5232.01,8735.65,0.11181,8298.87,63.04
BR,Saran,Parsa,231.0,2683.0,2913.0,3646.4,0.359519,3464.0,84.1
UP,Banda,Barokhar,364.22,6194.33,6558.55,10776.98,0.152234,10238.13,64.06
UP,Mahoba,Kabrai,484.4,3115.7,3600.1,4181.58,0.043096,3763.42,95.66
UP,Jaunpur,Barsathi,469.98,2745.3,3215.28,3944.33,0.243939,3549.9,90.57
UP,Ghazipur,Saidpur,572.01,6003.76,6575.77,9406.72,0.406536,8936.39,73.58
UP,Kaushambi,Sirathu,612.15,8578.2,9190.35,8557.58,0.270165,7701.82,119.33
UP,Banda,Kamasin,320.04,3169.69,3489.73,7433.74,0.160311,7062.05,49.42
UP,Banda,Baberu,382.04,3246.05,3628.09,7399.68,0.118746,6659.71,54.48
BR,Saran,Dariapur,421.0,4008.0,4429.0,6639.4,0.272822,6307.0,70.2
UP,Fatehpur,Dhata,424.8,8714.2,9139.0,10488.0,0.356418,9439.2,96.82
UP,Ghazipur,Ghazipur,478.23,5584.08,6062.31,6574.95,0.390213,6246.2,97.06
BR,Saran,Maker,141.0,529.0,670.0,2552.4,0.313576,2425.0,27.6
UP,Hamirpur,Rath,300.38,3466.35,3766.73,8516.08,0.193454,8090.28,46.56
UP,Ghazipur,Bhanwarkol,442.16,4329.6,4771.76,6108.05,0.284608,5802.65,82.23
UP,Jaunpur,Mungra Badshahpur,463.63,4181.82,4645.45,7588.7,0.369812,6829.83,68.02
UP,Jhansi,Chirgaon,455.87,6538.43,6994.3,9555.73,0.153223,9077.94,77.05
UP,Unnao,Fatehpur Chaurasi,343.49,7585.32,7928.81,14493.05,0.618239,13043.74,60.79
UP,Pratapgarh,Kunda,233.81,309.78,543.59,9823.73,0.282075,9332.54,5.82
UP,Ghazipur,Manihari,527.23,5711.42,6238.65,9553.51,0.411049,8598.16,72.56
UP,Unnao,Gang Muradabad,337.73,6302.0,6639.73,11630.83,0.373035,10467.74,63.43
BR,Saran,Sonepur,513.0,1050.0,1564.0,4132.9,0.229395,3926.0,39.8
UP,Banda,Tindwari,306.71,6414.35,6721.06,7186.11,0.14414,6826.8,98.45
UP,Hamirpur,Maudaha,344.19,4748.0,5092.19,9747.34,0.105889,8772.61,58.05
UP,Jaunpur,Machhlishahr,489.85,4996.97,5486.82,9602.53,0.300184,8642.27,63.49
UP,Ghazipur,Sadat,498.1,5186.57,5684.67,8605.73,0.363165,7745.15,73.4
BR,Nawada,Nawada,522.0,2081.0,2603.0,5703.0,0.26899,5133.0,50.7
BR,Nawada,Nardiganj,188.0,1431.0,1619.0,3345.0,0.249994,3010.0,53.8
UP,Ballia,Sohaon,327.29,3193.0,3520.29,7309.08,0.392829,6943.63,50.7
UP,Fatehpur,Asodhar,432.34,4429.8,4862.14,8599.7,0.188977,7739.73,62.82
UP,Kaushambi,Kara,466.52,5384.8,5851.32,6440.52,0.227452,5796.47,100.95
UP,Fatehpur,Vijayipur,433.46,5527.4,5960.86,7501.33,0.20298,7126.27,83.65
UP,Pratapgarh,Gaura,2263.08,8393.72,10656.8,5115.81,0.182158,4860.02,219.27
BR,Nawada,Akbarpur,357.0,2657.0,3015.0,6371.0,0.318801,5734.0,52.6
BR,Nawada,Warisaliganj,473.0,1464.0,1937.0,4557.0,0.25032,4329.0,44.7
UP,Jhansi,Gursarai,487.62,2383.85,2871.47,6931.41,0.089249,6584.84,43.61
UP,Ballia,Belhari,287.82,1558.0,1845.82,3134.68,0.173351,2977.95,61.98
UP,Ghazipur,Varachakwar,447.0,4018.63,4465.63,5283.6,0.251613,5019.42,88.97
UP,Agra,Shamsabad,467.86,7204.35,7672.21,5222.21,0.52,4699.99,163.24
UP,Hamirpur,Gohand,356.92,4787.44,5144.36,8208.72,0.159531,7387.85,69.63
UP,Azamgarh,Palhana,824.875,2491.71,3316.59,3670.4,0.1835,3639.12,91.1371
UP,Agra,Barauli Ahir,436.12,8211.94,8648.06,11008.82,0.71916,10458.38,157.86
UP,Fatehpur,Airaya,490.09,6060.8,6550.89,7566.83,0.232845,7188.49,91.13
UP,Ballia,Dubahand,389.35,2536.0,2925.35,4115.2,0.375652,3909.44,74.83
UP,Azamgarh,Tarwa,583.14,3250.1,3833.24,6847.19,0.227897,6504.83,58.93
BR,Nawada,Gobindpur,151.0,1129.0,1280.0,3495.0,0.226425,3145.0,40.7
BR,Nawada,Roh,247.0,594.0,841.0,4751.0,0.289091,4276.0,19.7
UP,Ghazipur,Jakhania,524.14,2408.73,2932.87,9828.18,0.472792,9336.77,31.41
UP,Budaun,Dataganj,325.0,5251.38,5576.38,7310.67,0.332614,6579.6,84.75
UP,Ghazipur,Birno,369.46,4841.2,5210.66,7031.32,0.448289,6679.75,78.01
UP,Ballia,Hanumanganj Brahmin,466.07,2304.0,2770.07,4650.34,0.177705,4417.82,62.7
BR,Nawada,Kashi Chak,127.0,664.0,791.0,2218.0,0.226074,2107.0,37.5
BR,Purnia,Amaur,440.0,2684.0,3123.0,7717.0,0.313875,7331.0,42.6
UP,Azamgarh,Lalganj,664.1,3024.9,3689.0,7401.63,0.355341,7031.55,52.4635
UP,Ghazipur,Maradh,443.39,3858.8,4302.19,7066.78,0.380055,6713.44,64.08
UP,Fatehpur,Bahua,388.73,8078.4,8467.13,9351.13,0.432489,8883.57,95.31
UP,Ballia,Garwar,394.3,3359.6,3753.9,4921.91,0.386513,4675.81,80.28
UP,Hamirpur,Muskara,372.83,3333.95,3706.78,9648.04,0.14848,8683.24,42.69
UP,Azamgarh,Mehnagar,688.99,2491.24,3180.23,7203.68,0.293538,6843.5,46.47
UP,Banda,Jaspura,217.03,2868.55,3085.58,4620.38,0.112618,4389.36,70.3
BR,Sheikhpura,Shekhopur Sarai,107.0,1045.0,1152.0,1550.0,0.276735,1395.0,82.6
UP,Ghazipur,Kasimabad,566.26,5821.8,6388.06,7910.92,0.336175,7515.37,85.0
UP,Fatehpur,Haswa,432.34,4429.8,4862.14,8599.7,0.188977,7739.73,62.82
UP,Hamirpur,Sarila,343.87,4001.6,4345.47,6423.2,0.096964,5780.88,75.17
BR,Nawada,Pakribarwan,289.0,953.0,1243.0,5908.0,0.231441,5317.0,23.4
JK,Anantnag,Anantnag,5013.8,69.0,5082.8,51009.43,0.0,45908.49,11.07
UP,Hamirpur,Sumerpur,856.19,5821.1,6677.29,7824.07,0.782407,7041.66,94.83
BR,East Champaran,Harsidhi,294.0,2969.0,3263.0,8131.0,0.425921,7318.0,0.0
UP,Azamgarh,Thekma,585.16,3665.0,4250.16,8059.9,0.362869,7656.91,55.51
UP,Ballia,Rasra,465.78,3660.4,4126.18,4738.07,0.231695,4501.17,91.67
UP,Jhansi,Moth,518.72,4866.03,5384.75,11407.16,0.211786,10836.8,49.69
BR,East Champaran,Sangrampur,142.0,917.0,1059.0,2756.0,0.401501,2619.0,40.4
UP,Ballia,Chilkahar,422.7,3406.0,3828.7,6888.52,0.543276,6544.09,58.51
UP,Fatehpur,Hathgaon,472.43,6967.2,7439.63,8076.76,0.344945,7672.93,96.96
BR,East Champaran,Sugauli,453.0,1905.0,2358.0,5920.0,0.26235,5328.0,44.3
CH,Chandigarh,Chandigarh,0.0,0.0,0.0,2156.0,0.189123,1940.0,0.0
UP,Azamgarh,Jahanganj,520.28,1731.63,2251.91,6071.26,0.332019,5767.7,39.04
UP,Fatehpur,Telyani,327.9,8749.8,9077.7,8996.44,0.24198,8096.8,112.11
BR,East Champaran,Raxaul,307.0,1056.0,1364.0,5285.0,0.34333,4757.0,28.7
BR,Sheikhpura,Barbhiga,378.0,1923.0,2300.0,3437.0,0.362663,3093.0,74.4
UP,Mau,Pardaha,520.64,3380.44,3901.08,6647.67,0.307732,6315.29,61.77
BR,East Champaran,Ramgarhwa,270.0,1178.0,1448.0,5768.0,0.306645,5191.0,27.9
BR,East Champaran,Kesaria,255.0,1443.0,1698.0,7713.0,0.408974,6942.0,36.9
BR,East Champaran,Kotwa,221.0,1052.0,1273.0,3951.0,0.422206,3754.0,24.5
UP,Mau,Ranipur,553.69,4287.0,4840.69,6671.1,0.302931,6337.55,76.38
BR,East Champaran,Turkauliya,241.0,1914.0,2155.0,5768.0,0.297911,5191.0,41.5
BR,East Champaran,Banjaria,156.0,958.0,1114.0,2761.0,0.268426,2485.0,44.8
UP,Azamgarh,Martinganj,515.48,3680.82,4196.3,8812.03,0.374731,8371.43,50.13
UP,Fatehpur,Khajuha,305.65,5659.8,5965.45,7461.94,0.246769,6715.75,88.83
UP,Fatehpur,Amauli,369.59,5828.93,6198.52,6666.64,0.188752,6333.31,97.87
UP,Azamgarh,Mohammadpur,592.33,3560.44,4152.77,6458.99,0.400976,6136.04,67.68
UP,Azamgarh,Mirzapur,652.985,3709.09,4362.07,4878.79,0.24394,4634.85,94.11
UP,Fatehpur,Bhitaura,466.4,14077.8,14544.2,13732.32,0.468258,13045.7,111.49
UP,Azamgarh,Rani Ki Sarai,527.44,3189.74,3717.18,5314.54,0.402239,5048.81,73.62
UP,Jalaun,Jalaun,463.1,6103.63,6566.73,21997.32,0.550746,20897.45,31.42
UP,Jalaun,Konch,483.62,7591.49,8075.11,25032.55,0.471758,23780.92,33.96
UP,Jalaun,Kuthond,474.77,4146.32,4621.09,11834.64,0.422867,11242.91,41.1
UP,Mau,Kopaganj,520.64,3380.44,3901.08,6647.67,0.307732,6315.29,61.77
UP,Azamgarh,Sathiyaon,958.08,2688.9,3646.98,4133.27,0.280138,3926.61,92.88
BR,East Champaran,Kalyanpur,500.0,4081.0,4581.0,9103.0,0.440636,8193.0,55.9
UP,Jalaun,Dakor,660.96,6790.26,7451.22,39321.61,0.42046,37355.53,19.95
UP,Shahjahanpur,Tilhar,284.99,2748.4,3033.39,7170.53,0.351571,6453.48,47.0
UP,Ballia,Negara,634.69,6276.0,6910.69,10794.89,0.359817,10255.15,67.39
UP,Meerut,Meerut,161.89,3261.0,3422.89,4128.08,0.207527,3715.27,92.13
UP,Jalaun,Kadaura,505.44,4326.8,4832.24,27634.93,0.408585,26253.18,18.41
UP,Azamgarh,Palhani,824.88,2491.71,3316.59,3830.65,0.271124,3639.12,91.14
UP,Mau,Mohammadabad,510.63,2335.68,2846.31,4390.22,0.264895,4170.71,68.25
UP,Meerut,Daurala,269.86,5324.9,5594.76,8864.22,0.49819,7977.8,70.13
BR,Katihar,Kursela,382.0,2350.0,2731.0,9076.0,0.369071,8169.0,33.4
UP,Azamgarh,Phulpur,608.51,3503.27,4111.78,7360.87,0.35722,6992.83,58.8
UP,Mau,Ratanpura,467.88,4394.0,4861.88,6358.64,0.317007,6040.71,80.49
UP,Hamirpur,Kurara,377.2,3932.11,4309.31,6420.77,0.137797,5778.69,74.57
BR,East Champaran,Adepur,270.0,1896.0,2165.0,5549.0,0.360887,4994.0,43.4
BR,East Champaran,Narkatia,225.0,1791.0,2016.0,5606.0,0.414108,5046.0,39.9
UP,Jaunpur,Shahganj,483.62,4978.4,5462.02,6806.84,0.199389,6126.15,89.16
UP,Fatehpur,Deomai,427.36,6888.0,7315.36,9779.16,0.284756,8801.24,83.12
UP,Azamgarh,Tahbarpur,429.56,5005.58,5435.14,6694.17,0.346232,6359.46,85.47
BR,East Champaran,Motihari,523.0,2519.0,3042.0,7447.0,0.381978,6702.0,58.9
UP,Kanpur Nagar,Ghatampur,473.35,9445.75,9919.1,11699.77,0.226004,11114.78,89.24
WB,Nadia,Santipur,407.855,5166.4,5778.18,8302.99,0.4236,7472.69,77.32
UP,Fatehpur,Malawan,498.4,11721.4,12219.8,12505.75,0.40726,11880.46,102.86
UP,Mau,Badraon,446.91,3956.01,4402.92,6094.15,0.358892,5789.44,76.05
UP,Jalaun,Nadigaon,547.34,6180.97,6728.31,24218.27,0.435591,23007.36,29.24
UP,Azamgarh,Pawai,629.89,2418.48,3048.37,7948.07,0.306202,7550.67,40.37
BR,East Champaran,Pipradih,101.0,1013.0,1114.0,1509.0,0.329911,1434.0,77.7
BR,East Champaran,Chiraia,366.0,1466.0,1832.0,6773.0,0.329188,6096.0,30.1
UP,Kanpur Dehat,Amraudha,432.91,3309.68,3742.59,8691.02,0.321098,8256.47,45.33
UP,Azamgarh,Bilhariyaganj,738.64,2750.45,3489.09,5918.91,0.392117,5622.96,62.05
AS,Dhemaji,Subansiri,1380.0,4142.0,5522.0,185124.0,0.5719,166612.0,3.0
UP,Kanpur Nagar,Bhitargaon,394.51,7421.0,7815.51,9424.31,0.35224,8953.09,87.29
UP,Shahjahanpur,Mirzapur,321.74,5715.48,6037.22,9722.1,0.386745,8749.89,69.0
UP,Azamgarh,Ahiraula,502.08,3093.63,3595.71,4341.74,0.258436,4124.65,87.18
UP,Azamgarh,Azamatgarh,703.37,4181.08,4884.45,6274.73,0.359182,5960.99,81.94
UP,Kanpur Nagar,Parara,329.92,3622.2,3952.12,7491.13,0.250063,7116.57,55.53
UP,Jalaun,Madhoganj,391.39,4896.3,5287.69,15526.09,0.614679,14749.79,35.85
UP,Jalaun,Mahewa,503.49,5501.29,6004.78,19323.82,0.329146,18357.63,32.71
UP,Unnao,Sumerpur,365.27,5523.27,5888.54,9818.3,0.428225,8836.47,66.64
UP,Kanpur Dehat,Malsa,432.91,3309.68,3742.59,8691.02,0.321098,8256.47,45.33
BR,Begusarai,Bakhri,218.0,1222.0,1441.0,2667.0,0.34276,2400.0,60.0
UP,Kanpur Nagar,Sarsol,427.98,6162.2,6590.18,7595.36,0.251187,7215.59,91.33
UP,Unnao,Bighapur,317.94,7650.77,7968.71,11062.17,0.350112,9955.95,80.04
BR,Begusarai,Gharpura,169.0,1235.0,1404.0,2201.0,0.355063,1981.0,70.9
UP,Kanpur Dehat,Rajpur,325.07,2934.49,3259.56,6977.8,0.213643,6628.91,49.17
UP,Kanpur Nagar,Bidhnu,396.27,5197.27,5593.54,6677.67,0.263866,6343.79,88.17
UP,Jalaun,Rampura,365.25,3038.52,3403.77,9972.94,0.284617,9474.29,35.93
UP,Unnao,Sikandarpur Karan,516.32,5868.58,6384.9,10303.07,0.296937,9272.76,68.86
UP,Ambedkar Nagar,Akbarpur,864.68,8634.9,9499.58,21079.46,0.10539,20025.49,47.44
UP,Ambedkar Nagar,Jalalpur,693.18,5399.93,6093.11,13428.31,0.671416,12756.89,47.76
BR,Begusarai,Dhandari,120.0,1010.0,1130.0,2403.0,0.338449,2163.0,52.2
BR,Begusarai,Balia,299.0,1919.0,2217.0,5384.0,0.359486,4846.0,45.8
UP,Kanpur Dehat,Sarwan Khera,421.87,5179.0,5600.87,8234.65,0.295437,7822.92,71.6
UP,Unnao,Purwa,277.96,6792.56,7070.52,8912.57,0.347242,8021.31,88.15
UP,Kanpur Dehat,Sandalpur,291.83,2740.1,3031.93,7503.16,0.431283,6561.74,46.21
UP,Kanpur Dehat,Akbarpur,384.39,4894.3,5278.69,8259.69,0.250871,7846.71,67.27
BR,Begusarai,Sahebpur Kamal,313.0,2761.0,3074.0,5359.0,0.367678,4823.0,63.7
UP,Ambedkar Nagar,Katehari,486.27,6607.78,7094.05,10308.25,0.410478,9792.84,72.44
UP,Kanpur Nagar,Kalyanpur,142.3,2287.6,2429.9,8142.67,0.133405,7735.54,165.711899
